fixed,fixed-strong,fixed-one_weak,strong-fixed,strong-strong,strong-one_weak,one_weak-fixed,one_weak-strong,one_weak-one_weak
61.66747205529664,60.07986984092647,60.07986984092647,63.043428731506,61.455826517135826,61.455826517135826,0,0,0
60.350868136080194,61.08491613251429,59.640258667026885,0,0,0,0,0,0
62.4830794573668,0,62.36572005785552,62.85767584756948,0,62.7403164480582,61.394067281743546,0,61.276707882232266
61.5863650429036,60.91274736072643,61.156068640247994,62.235682179093295,61.56206449691612,61.80538577643769,59.07545391717882,58.401836235001646,58.64515751452321
62.89827547283767,63.69248913870955,63.69248913870955,63.20700497416543,64.0012186400373,64.0012186400373,60.54846606636555,61.34267973223742,61.34267973223742
58.02488267733988,58.72979293865422,56.00932032727962,54.211859368463486,54.916769629777825,52.19629701840322,60.15972979037953,60.86464005169387,58.144167440319265
60.72934183935373,59.87049983875237,58.4859425513491,60.54735125956946,59.688509258968104,58.30395197156483,61.17335874992795,60.31451674932659,58.92995946192332
56.5981465501869,56.99164324512963,55.632288541615054,56.56733604231038,56.960832737253114,55.60147803373854,56.56369761972397,56.9571943146667,55.597839611152125
0,0,0,0,0,0,0,0,0
58.46495495483999,0,59.59045190809473,59.53219210914994,0,60.65768906240468,59.12652786602356,0,60.2520248192783
62.260835471695934,62.508146775099135,62.01029207243909,60.38905492132053,60.63636622472374,60.138511522063695,60.38905492132053,60.63636622472374,60.138511522063695
61.81725362086849,59.13827348472562,57.02900353780517,61.235823433380304,58.55684329723743,56.44757335031697,61.271947197427224,58.59296706128435,56.48369711436389
62.52825223669476,62.5805350872158,62.5805350872158,61.05048258971781,61.10276544023885,61.10276544023885,61.05048258971781,61.10276544023885,61.10276544023885
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
60.526319183068445,58.42769854239481,59.187628381393424,61.13856845308191,59.03994781240827,59.79987765140689,60.73201308168962,58.633392441015985,59.3933222800146
0,0,0,0,0,0,0,0,0
62.84150060859131,63.22697135907296,63.22697135907296,59.41562584662773,59.80109659710938,59.80109659710938,59.41562584662773,59.80109659710938,59.80109659710938
59.37731122738725,59.91397859032128,60.80363948500573,0,0,0,57.94545254830744,58.48211991124147,59.37178080592592
