fixed_count,version3_1,version3_2,version3_3,version4_1,version4_2,version4_3,is_equal
2906,4902,7016,14207,2906,5020,5987,True
3074,9776,13408,20048,6237,8556,8927,True
2812,8724,11948,17365,5109,6707,8309,True
1005,7722,13208,19739,5172,8756,10837,True
2206,6734,9704,15648,4136,5894,6297,True
942,1863,2655,5215,1207,1999,2773,True
1214,5146,6729,8391,2573,2797,2797,True
642,1974,2693,4160,1119,1553,1410,True
239,2866,3960,4179,1979,2334,2405,True
1094,4568,6132,7974,2284,2658,2284,True
0,0,0,0,0,0,0,True
1961,6111,8679,13316,3622,5046,6445,True
1215,5345,6325,7380,3310,3310,3310,True
297,2134,2904,3201,1067,1067,1067,True
5058,10586,11835,18001,6083,6573,8995,True
2184,3822,4648,8213,2184,3010,3285,True
1851,5468,6627,8975,3522,4130,4263,True
722,3688,5630,7970,2087,3055,2388,True
685,1370,2547,5560,912,2089,3064,True
815,2931,4669,7506,1863,3109,3496,True
3637,13358,19953,30656,8702,13262,14421,True
3576,17312,26216,37317,11281,16701,20251,True
0,0,0,0,0,0,0,True
4731,18882,28846,44088,12788,19703,17041,True
805,5766,7202,7758,3774,3774,3774,True
5539,11886,14902,24659,7132,9086,11486,True
1505,4998,6990,10483,3005,4001,3005,True
4099,6790,9108,20279,4099,6417,10261,True
1369,3761,5792,10733,2053,3515,5041,True
2984,6118,8584,16419,4083,6549,9143,True
741,5031,8240,11883,3000,4769,4414,True
4573,9296,11073,17136,6145,7922,8460,True
5464,10960,10960,15862,7344,7344,8630,True
1798,5070,7281,12027,2535,4009,4009,True
1691,8374,11680,14592,5430,6896,7872,True
825,2716,4192,6903,1729,2818,3563,True
1832,3664,3664,5544,2333,2333,2882,True
904,1490,1490,2076,904,904,904,True
1979,7876,11060,15480,5415,7374,5415,True
3877,13177,18737,28001,8857,12580,10742,True
1207,4224,6477,10380,2112,3460,3460,True
1446,6258,9387,13725,4001,5917,7123,True
4367,11270,14036,21045,7283,9043,8831,True
2668,4330,4330,5992,2668,2668,2668,True
539,6559,10186,13217,4129,5749,6065,True
4167,13578,16215,18916,8240,8240,8240,True
5108,15329,22071,34170,9697,14678,12785,True
4258,12655,18192,29405,8096,12154,15293,True
598,1196,2503,5715,598,1905,1905,True
0,0,0,0,0,0,0,True
4406,15276,21828,32690,9786,13887,14162,True
2688,7532,9312,12843,5079,6157,5079,True
3985,6342,8506,17360,3985,6149,8318,True
2988,12608,16876,21998,7943,9754,10768,True
4618,14072,18956,28374,8812,11837,10998,True
4235,8388,8388,11184,5592,5592,5592,True
2489,7382,9078,12555,3691,4185,4185,True
496,1682,2539,4135,991,1503,1729,True
2461,8499,10522,13692,5480,6291,5928,True
2636,7630,10676,16765,4493,6242,5588,True
1154,5583,8337,11771,3549,5162,5223,True
487,1954,3375,5730,1236,2298,2186,True
0,3580,7128,10708,2314,4596,5644,True
1702,5213,6959,10170,3370,4436,3745,True
2456,8728,11179,14721,4364,4907,4368,True
320,1892,2814,3692,1130,1506,1736,True
1630,6300,8027,10314,4201,4927,5156,True
3805,13010,17112,23711,8343,10508,12493,True
550,2280,3165,4413,1395,1744,1945,True
2123,13343,17907,20259,8428,9750,10429,True
1546,7239,10776,14886,4173,5780,6830,True
0,0,0,0,0,0,0,True
