fixed_count,version3_count,version4_count,is_equal
1850,7837,4025,True
819,2335,1179,True
922,6712,3300,True
4215,12577,7395,True
725,3683,1513,True
888,5359,2291,True
494,10112,2892,True
1760,10584,3750,True
2548,7584,3892,True
1091,4924,2162,True
2241,6843,3263,True
989,10023,3341,True
2335,13039,5717,True
3605,26172,13926,True
1101,2655,1101,True
1938,15337,7999,True
1209,9440,4748,True
2578,11121,5479,True
858,9958,4930,True
3968,12609,6685,True
3502,25573,14517,True
0,0,0,True
1336,9354,5130,True
1914,18125,8361,True
2573,10819,5277,True
4285,13972,5948,True
1336,9847,2994,True
957,4446,1482,True
1957,9040,4940,True
0,0,0,True
3100,24546,10382,True
1659,8463,2821,True
3035,9006,5144,True
2871,21977,12375,True
3005,17346,5782,True
3423,34548,9957,True
1393,8559,3114,True
0,1887,905,True
1311,6702,2234,True
2150,9046,4210,True
2401,8320,4250,True
1653,10758,3586,True
1463,8696,4296,True
3481,33305,15770,True
5463,34988,18520,True
1084,8772,4080,True
1268,6864,3352,True
2369,15059,6321,True
824,9729,3243,True
1716,13562,4680,True
781,5628,1876,True
698,12879,4726,True
297,5948,3212,True
4173,18530,10106,True
1679,15822,4785,True
0,0,0,True
1410,10950,4451,True
3123,19437,7252,True
1765,7269,2094,True
1906,13952,5507,True
3512,10586,5196,True
297,784,380,True
4457,29371,8423,True
601,4512,1504,True
1825,4651,2223,True
2170,15561,5187,True
3985,18713,9957,True
7263,41807,14638,True
5447,25068,14920,True
2229,13742,5874,True
370,3087,1029,True
629,5457,1730,True
577,1775,769,True
1785,15336,7400,True
4132,25565,12253,True
2248,15927,6743,True
210,12318,3100,True
1269,6048,3004,True
2899,12748,6570,True
4177,22081,8878,True
1838,27305,12729,True
2801,13331,6883,True
2539,14181,5465,True
1210,9495,4135,True
346,9984,4008,True
420,5637,1667,True
1201,7763,3729,True
2936,31411,13505,True
0,0,0,True
1074,7092,3180,True
2923,18999,7341,True
3858,16347,9191,True
3937,22962,8931,True
1447,6440,3518,True
2289,22766,10654,True
1434,6893,2991,True
0,0,0,True
1003,2737,1361,True
0,15865,6367,True
3869,22139,9433,True
2963,21107,11237,True
1359,11525,5391,True
724,10541,5261,True
1249,10765,5621,True
1813,15124,7442,True
2387,10045,4100,True
1796,16288,7758,True
3142,42190,18314,True
1733,21532,7606,True
579,4932,1547,True
1593,9569,4603,True
2568,19581,10083,True
740,8976,4892,True
944,4960,2468,True
832,13393,5734,True
1729,7269,3623,True
2369,15930,6458,True
3399,14847,6294,True
1901,5497,2791,True
0,0,0,True
744,6214,2782,True
772,4687,2355,True
1205,10845,2410,True
5536,38579,20929,True
1500,4490,2370,True
1235,4708,2166,True
2604,13342,7592,True
1715,10948,5106,True
0,0,0,True
3878,36060,18071,True
2941,11150,6028,True
0,0,0,True
1444,8739,2913,True
2251,19698,7925,True
2973,18163,9769,True
3088,37802,13253,True
6442,32599,13059,True
3399,15658,7650,True
1877,9255,2840,True
981,6375,1553,True
4370,25383,10674,True
1599,9757,2967,True
1741,11536,5810,True
2582,22858,10662,True
868,7102,3708,True
1312,8724,4388,True
873,7897,3987,True
1591,14643,7215,True
4942,24402,10501,True
7878,37726,19466,True
1185,3555,1185,True
5044,22799,10278,True
914,2742,1480,True
